Australian Bureau of Statistics

"2016 Census - Counting Persons, Place of Usual Residence (MB)"
"MB by Commonwealth Electoral Divisions (UR) by AGEP Age, HEAP - 1 Digit Level and SEXP Sex"
"Counting: Persons Place of Usual Residence"

Filters:
"Default Summation","Persons Place of Usual Residence"

"AGEP Age","ages45to59",,,,"age18to29",,,,"ages30to44",,,,"ages60plus",,,,"Total",,,,
"HEAP - 1 Digit Level","postgraduateDegree","bachelorDegree","highSchoolorCertIorIIorLess","gradDipDipCertIIIandIV","postgraduateDegree","bachelorDegree","highSchoolorCertIorIIorLess","gradDipDipCertIIIandIV","postgraduateDegree","bachelorDegree","highSchoolorCertIorIIorLess","gradDipDipCertIIIandIV","postgraduateDegree","bachelorDegree","highSchoolorCertIorIIorLess","gradDipDipCertIIIandIV","postgraduateDegree","bachelorDegree","highSchoolorCertIorIIorLess","gradDipDipCertIIIandIV",
"SEXP Sex","Male","Male","Male","Male","Male","Male","Male","Male","Male","Male","Male","Male","Male","Male","Male","Male","Male","Male","Male","Male",
"MB by Commonwealth Electoral Divisions (UR)",
"Franklin",453,1213,3075,4078,74,465,3053,1835,407,1512,2314,3443,522,1238,4442,4152,1460,4430,12872,13509,
"Fraser",374,1507,7076,4488,439,2435,8218,3973,1021,3041,6245,5076,175,802,7719,3430,2003,7785,29253,16967,
"Fremantle",843,2112,4036,5782,191,1597,5215,3341,1225,3631,3926,6549,551,1152,4521,4315,2804,8502,17697,19993,
"Gellibrand",1176,2648,4812,5254,650,2352,5866,3124,2689,6177,4582,6270,376,991,4830,3348,4891,12176,20084,17994,
"Gilmore",466,1336,4254,6669,47,414,4111,2622,290,1140,2921,4953,753,2131,8362,9467,1562,5020,19650,23709,
"Gippsland",245,885,4680,6358,52,534,4196,3152,258,1096,3295,5158,283,1032,8238,6966,842,3550,20409,21631,
"Goldstein",2253,4975,2873,4344,386,2103,4553,1684,1829,4689,2014,3125,1291,3305,4518,4359,5759,15070,13960,13505,
"Gorton",371,1296,5787,4796,153,1279,6360,3958,1147,3215,6523,7342,163,511,4836,3068,1836,6297,23508,19164,
"Grayndler",1915,3438,3423,3617,753,3794,4623,2367,3087,6579,3486,4875,1047,1746,4097,2436,6801,15556,15618,13302,
"Greenway",1188,2464,4421,5149,369,1993,6630,3220,2999,4834,5092,6801,508,1255,4503,3436,5054,10547,20646,18612,
"Grey",174,744,8278,6756,40,511,5367,3313,187,1087,5229,5457,163,704,11259,6589,565,3056,30137,22110,
"Griffith",1568,3212,2849,4227,632,3957,6474,3889,2457,6120,3425,5605,730,1505,3103,2814,5390,14798,15848,16537,
"Groom",614,1428,4530,5272,151,1042,5423,3813,613,1856,3719,5529,493,1167,6725,4280,1868,5492,20397,18893,
"Hasluck",484,1503,4806,5993,104,900,5325,3414,655,2071,4250,5744,435,1259,4979,5310,1668,5727,19364,20461,
"Herbert",488,1248,4703,6290,129,1173,7946,4611,574,1872,4785,6834,342,818,4844,4528,1535,5111,22278,22258,
"Higgins",2030,4287,2621,3399,1221,4966,5967,2541,3253,7028,2472,3836,1460,3206,3909,3111,7962,19494,14972,12890,
"Hindmarsh",589,1836,6211,6327,238,1602,6264,3298,1026,2914,4446,5583,422,1481,7420,6119,2272,7826,24330,21329,
"Hinkler",242,830,4849,5411,37,397,4222,2332,239,995,3574,4234,245,876,9434,7770,764,3100,22086,19750,
"Holt",378,1204,5441,5672,140,1106,6850,4318,1336,2903,5931,7850,145,512,4279,3119,1991,5725,22501,20963,
"Hotham",1261,2854,4528,4633,1112,3984,9218,3356,2845,5190,3762,4763,698,1630,7168,4600,5917,13662,24679,17348,
"Hughes",1011,2207,3307,6620,191,1608,5000,3120,1087,2785,3096,6430,609,1539,4027,5520,2891,8142,15421,21696,
"Hume",419,1178,4762,6800,100,687,5121,3685,404,1421,3952,6858,442,1095,5535,5656,1365,4373,19368,22991,
"Hunter",353,965,5074,6994,49,496,5825,3712,307,1139,4341,6694,472,1182,6593,6493,1185,3785,21830,23892,
"Indi",359,1123,4936,6561,58,455,4149,3052,248,1257,3053,5333,368,1356,8030,6642,1030,4195,20170,21581,
"Isaacs",827,2351,4498,5674,256,1605,5217,2791,1323,3893,3711,5699,484,1342,5469,4567,2890,9186,18890,18738,
"Jagajaga",1227,2672,3549,5405,400,1988,5145,2832,1609,4036,2744,5011,923,1923,4707,5124,4158,10619,16145,18375,
"Kennedy",249,867,6477,6732,42,509,5335,3477,208,1108,4694,6022,231,789,8630,5751,732,3265,25139,21994,
"Kingsford Smith",1735,2881,3670,4403,1305,4995,9085,3019,3167,5757,3724,5443,940,1650,5138,3521,7152,15283,21620,16387,
"Kingston",382,1286,5330,6947,67,823,6254,3727,456,1838,4953,6789,333,1093,6234,6796,1238,5041,22771,24254,
"Kooyong",2751,5144,2296,3237,888,3997,6543,2048,2683,5173,1845,2702,2108,3926,3434,3506,8433,18241,14123,11491,
"La Trobe",507,1476,4523,6156,137,920,5639,3880,1011,2414,4184,6941,262,822,4257,3991,1917,5641,18600,20975,
"Lalor",560,1478,5081,5112,446,1611,6690,4184,3310,4430,5959,7246,231,678,4227,3189,4548,8200,21959,19733,
"Leichhardt",557,1709,5135,7146,99,929,5653,3448,520,2154,4559,6858,394,1127,5356,5380,1572,5925,20706,22832,
"Lilley",823,2132,4111,5306,228,1864,5528,3813,1307,4313,3925,6094,487,1276,5071,4402,2843,9584,18638,19623,
"Lindsay",471,1139,5514,5756,214,1066,7171,4361,850,1990,5976,7166,281,761,5705,4377,1807,4964,24362,21665,
"Lingiari",256,738,3903,4110,69,483,5567,2541,318,1072,4610,4352,169,402,2439,1965,809,2694,16519,12964,
"Longman",224,810,5470,6466,21,478,5965,3825,176,1001,4828,6426,287,873,7155,6351,709,3167,23415,23067,
"Lyne",294,1064,4936,6362,26,281,3719,2072,175,828,2982,4320,487,1636,9493,9139,984,3806,21132,21895,
"Lyons",174,603,4699,4248,28,201,3223,1889,109,592,3107,3319,224,759,6320,4145,538,2157,17348,13601,
"Macarthur",550,1172,5463,5483,178,1195,7205,3908,933,2152,5787,6380,284,810,5063,4308,1949,5326,23528,20077,
"Mackellar",1346,3289,3164,5873,158,1340,4550,2359,1115,3350,2663,5429,1019,2807,4602,5553,3628,10785,14982,19215,
"Macnamara",1849,3863,3193,3367,1266,5381,5657,3302,3559,8611,3728,5411,1299,2859,3692,2840,7982,20702,16270,14921,
"Macquarie",863,1919,3831,6617,140,711,4695,3318,590,1703,3166,5679,902,1840,4725,5691,2492,6175,16425,21308,
"Makin",506,1296,5963,6521,211,1309,6988,3699,1087,2565,5212,6604,293,976,6762,6622,2102,6151,24922,23449,
"Mallee",142,824,6667,5806,40,526,4778,3192,192,1041,3973,4765,171,719,11189,5279,544,3115,26610,19043,
"Maranoa",155,786,6883,5013,44,480,4518,3148,162,1031,4217,4916,187,673,10157,4632,555,2971,25787,17712,
"Maribyrnong",1084,2786,4203,4678,842,3220,6019,3266,2186,5389,3751,5304,545,1387,5512,3713,4649,12785,19484,16960,
"Mayo",775,2101,5055,7061,55,632,4916,2579,502,1940,3424,5348,916,2322,7497,7697,2244,6999,20888,22689,
"McEwen",502,1323,4247,6375,88,740,4636,3651,580,1835,3715,6947,345,983,4238,4634,1510,4881,16839,21612,
"McMahon",448,1361,6463,4846,277,1648,7785,3405,893,2370,6555,5344,238,882,6607,3625,1858,6261,27406,17218,
"McPherson",602,1644,4050,6145,219,1290,5080,3146,681,2479,3600,6221,470,1369,5873,5854,1970,6774,18604,21371,
"Melbourne",1725,2812,2654,2452,2646,11171,12467,4347,4282,9194,3925,4842,1212,1823,2768,1726,9865,25002,21815,13367,
"Menzies",1534,3648,3757,5289,460,2268,5506,2115,1640,3898,2283,3534,1168,2842,5608,5456,4807,12654,17148,16392,
"Total",128646,295788,702440,820739,50012,266961,891341,486785,194775,465322,610389,830298,89919,220711,884539,728043,463356,1248783,3088710,2865862,

"Data Source: Census of Population and Housing, 2016, TableBuilder"

"INFO","Cells in this table have been randomly adjusted to avoid the release of confidential data. No reliance should be placed on small cells."


"Copyright Commonwealth of Australia, 2018, see abs.gov.au/copyright"
"ABS data licensed under Creative Commons, see abs.gov.au/ccby"
